absolute_magnitude,estimated_diameter_min,estimated_diameter_max,relative_velocity,miss_distance,average_diameter,scaled_relative_velocity,momentum,velocity_distance_ratio,diameter_magnitude_ratio
17.36,0.8965096664,2.0046565566,99804.7390172065,55195295.79388013,1.4505831115,0.5325645476183968,144775.06886602487,0.0018082109640269837,0.08355893499423964
19.29,0.3685996993,0.8242139842,59133.7765895422,7266531.841719698,0.59640684175,0.3133889764887127,35267.78893651895,0.008137826665815256,0.03091792855106273
23.9,0.04411182,0.0986370281,44783.1912222101,50409368.11201511,0.07137442405,0.23605375853009186,3196.3744806062614,0.0008883902516432455,0.0029863775753138076
22.45,0.086011194,0.1923268766,100358.5947538075,68046448.92072903,0.1391690353,0.5355492728411863,13966.80881595103,0.0014748542553737172,0.006199066160356348
17.77,0.742258153,1.659739687,57915.566421413,60288917.25738857,1.20099892,0.3068240492428777,69556.53272330528,0.0009606337127296028,0.06758575801913337
24.5,0.0334622374,0.0748238376,27818.6149108053,40002412.18458942,0.0541430375,0.14463175914568263,1506.1843103137903,0.0006954234355277749,0.0022099198979591834
21.82,0.1149621763,0.257063241,83141.5371080904,48289866.11816617,0.18601270865,0.4427666530695437,15465.382518800383,0.0017217181117181307,0.008524872073785517
21.22,0.1515496636,0.3388753497,36587.1930866986,61868384.32954688,0.24521250665,0.19188557402933176,8971.637328076915,0.0005913714004848422,0.011555726043826578
18.71,0.4814541966,1.0765643117,81627.9767819258,37769003.29080635,0.77900925415,0.4346100856040856,63588.949310661534,0.0021612425446714263,0.041635983653126665
23.1,0.063760979,0.1425738833,33610.0833032381,73666306.93695164,0.10316743115,0.17584194736900247,3467.4659551325813,0.00045624770265738677,0.00446612256060606
22.0,0.1058168859,0.2366137501,43563.4358941598,19013001.21916432,0.171215318,0.2294805044267649,7458.727529791184,0.0022912445748044055,0.007782514454545455
23.1,0.063760979,0.1425738833,33607.428604851,73660041.97263326,0.10316743115,0.1758276412154118,3467.1920767195056,0.00045625046775478467,0.00446612256060606
21.58,0.1283970296,0.2871044863,31033.0854228712,56159522.34249799,0.20775075795,0.16195452134032276,6447.147018128589,0.0005525881298208143,0.009627004538924932
19.1,0.4023045798,0.8995803882,111555.3620980037,17509684.249967847,0.650942484,0.595888584502057,72616.12450759398,0.0063710664627323905,0.03408075832460733
24.5,0.0334622374,0.0748238376,12536.2359037052,29601415.593033686,0.0541430375,0.0622751108844377,678.749890643157,0.00042350122967279446,0.0022099198979591834
26.87,0.0112345318,0.0251211767,31042.5575354636,41381758.34138347,0.01817785425,0.16200556649793207,564.2870864268965,0.0007501507615837521,0.0006765111369557127
20.09,0.2550086879,0.5702167609,11063.4990020639,46537091.753666654,0.41261272439999996,0.05433854060742273,4564.940464638266,0.00023773507508002384,0.020538214255848678
20.37,0.2241583786,0.5012333723,22041.8821537518,63695363.83022099,0.36269587545,0.11350098117251269,7994.49974432074,0.00034605159352734207,0.017805393983799704
21.2,0.1529519353,0.3420109247,91905.5333171455,49683854.71999859,0.24748143,0.48999577576154757,22744.91281023981,0.0018498068202456113,0.011673652358490567
30.3,0.0023150212,0.0051765448,36238.4710092421,43251216.740675785,0.003745783,0.19000631285797404,135.7414486524119,0.0008378601514616231,0.000123623201320132
19.75,0.2982325052,0.6668681546,75588.081501339,30495548.94229049,0.4825503299,0.40206112637941643,36475.05366497922,0.002478659480581288,0.02443292809620253
21.28,0.1474195145,0.3296400556,45729.6841880064,52416785.711900786,0.23852978505,0.24115440341199235,10907.891739769551,0.0008724244260102325,0.011209106440319548
19.18,0.3877528304,0.8670416872,68306.5927565258,37907208.56493608,0.6273972588,0.36282122746733037,42855.36905341222,0.001801942040641551,0.03271101453597497
22.89,0.0702352248,0.157050737,44707.0386296963,13699106.107309667,0.1136429809,0.23564337266851051,5080.641137090138,0.0032635004269250235,0.004964743595456531
23.67,0.0490405098,0.1096579137,21906.3437922502,71397459.13055384,0.07934921175,0.11277056576016709,1738.2511122395592,0.0003068224564153376,0.0033523114385297843
22.21,0.0960627415,0.2148028201,58608.4250754817,36747753.02610189,0.1554327808,0.31055786034921035,9109.67048779057,0.0015948845915518207,0.006998324214317874
18.25,0.5950520786,1.330576898,21273.200856707,21822011.135361813,0.9628144882999999,0.10935856230066658,20482.145997353473,0.0009748506095404981,0.052756958263013694
20.44,0.2170475943,0.4853331752,41135.359026686,24697911.85419664,0.35119038475000003,0.2163956128380338,14446.342563411243,0.001665539956152055,0.017181525672700586
22.41,0.0876102615,0.1959025002,38826.566930507,19911587.274222735,0.14175638085,0.20395354616209174,5503.913608898965,0.001949948359002566,0.00632558593708166
21.94,0.1087814834,0.2432427915,39222.0801279626,42574593.51831268,0.17601213745,0.20608496439680496,6903.562158557867,0.0009212555396704362,0.008022431059708294
25.8,0.0183888672,0.0411187571,11799.2340981485,11777844.060006537,0.02975381215,0.058303412601079053,351.0721948701851,0.001001816125093267,0.0011532485329457363
23.0,0.0667659413,0.1492931834,33542.3410480778,71713739.74017656,0.10802956235,0.1754768847646744,3623.5644236182848,0.000467725448004857,0.004696937493478261
28.4,0.0055533491,0.0124176661,21470.803924651,14651213.747438625,0.008985507600000001,0.11042344404155562,192.92607184306144,0.0014654624725821506,0.0003163911126760564
23.35,0.0568270323,0.1270691073,23386.4489944989,25941229.550427128,0.0919480698,0.12074684376469783,2150.338844520325,0.0009015165973161761,0.003937818835117773
18.41,0.5527833794,1.2360612132,55376.3604794828,72553948.68217827,0.8944222962999999,0.2931402837424113,49529.85150079557,0.0007632439238015605,0.048583503329712105
21.12,0.1586919792,0.3548460529,70209.612583529,46538004.04635728,0.25676901605,0.3730765898329584,18027.65314032444,0.0015086511341051935,0.012157623866003789
21.23,0.1508533561,0.3373183589,69471.6239059117,66702340.7366907,0.2440858575,0.3690995733020196,16957.040892991958,0.0010415170313160798,0.011497214201601507
26.11,0.0159424468,0.0356483948,20399.0544509206,31984291.72795667,0.025795420799999996,0.10464779259414804,526.2021934836098,0.0006377835290030917,0.0009879517732669474
19.2,0.3841978911,0.8590926012,26539.5619332174,56698857.714628935,0.6216452461499999,0.13773895036677686,16498.1925106881,0.0004680793053502716,0.0323773565703125
20.63,0.1988634532,0.4446721997,66891.0972400254,47073303.68682966,0.32176782645,0.3551931306694671,21523.402967778566,0.0014209985703370217,0.015597083201648087
23.0,0.0667659413,0.1492931834,108757.8261541332,63342180.567624554,0.10802956235,0.5808126801797985,11749.060361568394,0.0017169889823736425,0.004696937493478261
21.86,0.1128638801,0.2523713081,14012.4967331518,45366131.30088139,0.1826175941,0.0702306715871334,2558.9284407422915,0.0003088757258188238,0.008353961303751144
19.22,0.3806755436,0.8512163929,26539.435316992,56699699.69632065,0.6159459682499999,0.13773826803270214,16346.858183132881,0.00046807012134341503,0.03204713674557752
20.64,0.1979497587,0.4426291165,39941.2951588998,38449936.56244224,0.3202894376,0.20996080985905766,12792.774963459618,0.0010387870235893785,0.015517899108527132
20.59,0.2025606009,0.4529392731,14816.4737904694,63101465.44744751,0.327749937,0.07456329909812853,4856.098351388497,0.00023480395717289534,0.01591791826129189
21.8,0.1160259082,0.2594418179,115260.679400603,48890860.481425874,0.18773386305,0.6158565170893001,21638.33260164276,0.0023575097322001866,0.008611645094036698
27.2,0.0096506147,0.0215794305,25832.7560992834,7587722.432953253,0.0156150226,0.13392997799230205,403.37907031059814,0.003404546796162773,0.0005740817132352941
22.8,0.0732073989,0.1636967205,27475.4255911959,14244915.32726486,0.1184520597,0.1427823139729804,3254.5207524112448,0.0019287882700578611,0.0051952657763157896
19.24,0.3771854893,0.8434123941,42003.1876785077,68463438.1582051,0.6102989417,0.22107233620655548,25634.500988219726,0.0006135126836815711,0.03172031921517672
22.18,0.0973991073,0.217791025,22265.4670642713,72618758.38396667,0.15759506615,0.11470587890627659,3508.9277548544815,0.0003066076528951952,0.007105278004959422
25.8,0.0183888672,0.0411187571,66418.500010315,61218413.3141051,0.02975381215,0.3526463070500283,1976.2035725916853,0.0010849431799143307,0.0011532485329457363
26.22,0.0151549664,0.033887535,76805.4867759997,60973529.61936094,0.024521250700000004,0.40862171605920616,1883.3665963698236,0.0012596529552327514,0.0009352116971777271
22.35,0.0900647767,0.2013909631,39750.6521761596,15123817.92289973,0.1457278699,0.20893343597533745,5792.777868767538,0.002628347708151865,0.006520262635346756
24.0,0.0421264611,0.0941976306,35555.8869401352,52709952.59790064,0.06816204584999999,0.1863278714280076,2423.5619958509114,0.0006745573689161568,0.00284008524375
21.41,0.138852907,0.310484539,54761.3522023144,28487552.249050047,0.22466872300000001,0.28982600784747503,12303.163069047216,0.001922290540217982,0.010493634890238208
23.68,0.0488151892,0.1091540813,15901.208111185,69658364.39920138,0.07898463524999999,0.08040892580759378,1255.9511226962886,0.00022827421011578194,0.0033354997994087835
26.0,0.0167708462,0.0375007522,64218.8720735024,57976190.4210279,0.0271357992,0.3407925253702571,1742.630417437049,0.0011076766446215184,0.0010436845846153848
23.67,0.0490405098,0.1096579137,89917.2902808014,67948758.98341502,0.07934921175,0.4792811460349857,7134.866106477527,0.0013233102653537568,0.0033523114385297843
18.08,0.6435095206,1.4389310323,106453.0869492776,74787549.71946557,1.04122027645,0.5683924545107446,110841.11262228272,0.00142340653422384,0.05758961706028762
21.36,0.1420872067,0.317716653,71327.5830684421,55774305.85255611,0.22990192985000002,0.37910132603074964,16398.348998971025,0.0012788609733127352,0.010763198963014982
20.48,0.2130860292,0.4764748465,57914.6902994509,72145663.12357773,0.34478043785,0.3068193278269101,19967.85227939183,0.0008027466626822639,0.01683498231689453
22.78,0.0738847787,0.1652113876,49824.9458212752,60373430.82374998,0.11954808315000001,0.26322374364443885,5956.476765986054,0.0008252793512220748,0.005247940436786655
21.37,0.1414343753,0.3162568776,32927.8296949722,27991071.580346525,0.22884562645,0.17216528679051432,7535.389814184826,0.0011763690289760802,0.01070873310481984
24.5,0.0334622374,0.0748238376,36738.0491407067,14801669.007710956,0.0541430375,0.1926985363941738,1989.1095723021256,0.0024820207181749537,0.0022099198979591834
21.83,0.1144339731,0.2558821427,40831.9328875738,12406761.224736627,0.1851580579,0.21476045120511517,7560.361393766304,0.0032911033063296974,0.008481816669720569
18.66,0.4926687055,1.1016407159,40408.9077076391,32441604.95161296,0.7971547107,0.21248077106281887,32212.151133386044,0.0012455890443123718,0.04271997377813505
21.36,0.1420872067,0.317716653,92214.2461809838,35135887.94715192,0.22990192985000002,0.4916594275221171,21200.23315667117,0.0026245030812849742,0.010763198963014982
18.78,0.4661814374,1.0424133839,88794.6558775477,73634924.11626558,0.75429741065,0.4732312760093972,66977.57900799204,0.001205876925157765,0.04016493134451544
18.61,0.5041444339,1.1273012246,23897.0466580523,16991267.806229636,0.8157228292500001,0.12349845149283649,19493.36651062568,0.0014064310521484892,0.043832500228371846
20.15,0.2480589932,0.5546767711,42183.8908019665,45220607.5493534,0.40136788215,0.22204614424858157,16931.25891203216,0.0009328466176825986,0.0199190015955335
22.75,0.0749126183,0.1675097069,36717.0973187976,59791257.98186625,0.1212111626,0.19258562715232092,4450.5220533087995,0.0006140880549784271,0.005327963191208792
26.6,0.0127219879,0.0284472297,48283.7688635558,58546065.70464637,0.0205846088,0.25491835031816007,993.9024934459168,0.0008247141508558085,0.0007738574736842105
22.45,0.086011194,0.1923268766,29685.6691618044,39032998.913261,0.1391690353,0.15469330323922703,4131.325939483278,0.0007605275020700253,0.006199066160356348
21.2,0.1529519353,0.3420109247,71138.1490145352,45483100.70857101,0.24748143,0.3780804670572178,17605.370845670262,0.0015640567135109514,0.011673652358490567
23.7,0.0483676488,0.1081533507,58151.8966516405,18964817.510492183,0.07826049975,0.3080976314276477,4550.9964933677375,0.0030663040453444003,0.003302130791139241
16.64,1.2489785407,2.7928009194,24186.5311864738,41820960.080034174,2.02088973005,0.12505848186986127,48878.31248027894,0.0005783351491736972,0.12144770012319711
19.4,0.3503926411,0.7835017643,29531.2851530344,29691744.417556472,0.5669472027,0.15386132874745945,16742.679509648893,0.0009945958289864845,0.029224082613402064
19.62,0.3166321257,0.708010957,74321.5865408294,66912510.57481668,0.51232154135,0.3952359926787754,38076.54977217513,0.0011107278131154328,0.026112209039245663
21.07,0.1623883902,0.3631114793,32806.2195999303,26282826.517831217,0.26274993474999997,0.17150993072208223,8619.832059275857,0.0012481998303216504,0.012470333875177977
22.45,0.086011194,0.1923268766,26113.3236276132,68835586.37661527,0.1391690353,0.1354419547096344,3634.1660577316256,0.00037935790195410296,0.006199066160356348
18.69,0.4859090375,1.0865256386,77331.8171556587,15509242.32396134,0.7862173380499999,0.41145810729951277,60799.6154306913,0.004986176341843808,0.04206620321294809
20.52,0.2091967709,0.4677782004,60566.7357305496,31372150.348690085,0.33848748565,0.3211111846536754,20501.082091461747,0.0019305892346355691,0.016495491503411307
22.7,0.0766575574,0.1714115092,95158.4559638764,72935875.75431544,0.1240345333,0.507525756277892,11802.934675028011,0.001304686548008524,0.005464076356828194
20.53,0.208235599,0.4656289548,48519.0355801457,39526569.02076559,0.3369322769,0.2561862012343538,16347.629131010603,0.0012275043542143982,0.016411703697028737
19.88,0.2809020939,0.6281161771,42047.3714942045,28640271.777803335,0.4545091355,0.2213104425227573,19110.91446787823,0.0014681205478920029,0.022862632570422536
22.02,0.1048467509,0.2344444622,19936.1201284552,40461851.777410105,0.16964560655,0.10215304232355027,3382.0751914454463,0.0004927139824971025,0.007704160152134423
25.1,0.0253837029,0.0567596853,19229.7232988612,7201577.628388871,0.0410716941,0.09834627407099593,789.7973129584701,0.0026702098194508043,0.0016363224741035856
23.25,0.0595052079,0.1330576898,70185.3281370688,33549364.074189547,0.09628144884999999,0.3729457210975074,6757.545081049656,0.0020920017435163345,0.004141137584946236
20.76,0.1873074177,0.4188321187,68571.6948070996,65961344.48872172,0.3030697682,0.3642498608183484,20782.007650268817,0.0010395739404436216,0.01459873642581888
25.6,0.0201629919,0.0450858206,55454.0974658147,26993457.62950419,0.03262440625,0.2935592078927187,1809.1570039518344,0.002054353252071075,0.001274390869140625
22.72,0.0759547566,0.1698399991,37794.8296403111,17379869.860527277,0.12289737785,0.19839352013033343,4644.885459081693,0.0021746324882529625,0.005409215574383803
23.8,0.046190746,0.1032856481,27975.1099614876,34874139.09717671,0.07473819705,0.14547511002957839,2090.809280797078,0.0008021734926139688,0.0031402603802521004
25.68,0.0194336768,0.0434550225,65872.4520133994,48883366.86980119,0.03144434965,0.34970365768929446,2071.316413412177,0.0013475432694488479,0.0012244684443146418
19.71,0.3037770614,0.6792661593,28009.5442308379,71328184.85985273,0.49152161034999997,0.14566067609934397,13767.296285510994,0.00039268550413657237,0.024937676831557582
20.32,0.229379698,0.5129085974,62780.0230076281,52824957.3816429,0.37114414770000004,0.3330385764357243,23300.438131752526,0.00118845383166262,0.01826496789862205
19.13,0.3967847541,0.8872376825,88605.3636087048,61669919.13348821,0.6420112183,0.4722111811147198,56885.63743833906,0.0014367679551664926,0.033560440057501306
24.98,0.0268259417,0.0599846292,53778.9610294744,29435183.905948818,0.04340528545,0.28453190774441206,2334.291154688762,0.0018270298973265709,0.0017376014991993594
22.8,0.0732073989,0.1636967205,49393.6043025337,37373768.05199313,0.1184520597,0.26089924680249027,5850.774165641898,0.0013216115708167015,0.0051952657763157896
20.06,0.2585562121,0.5781492662,31208.7806065678,28072682.03548294,0.41835273915,0.16290134162518632,13056.278852289037,0.0011117135358538574,0.02085507174227318
20.43,0.2180494405,0.4875733714,27568.9333990237,56877385.045126334,0.35281140595,0.14328622698517413,9726.634153051464,0.00048470817315441977,0.017269280761135583
20.3,0.2315021222,0.5176544822,46344.0940448,37145926.6064385,0.3745783022,0.24446545442313944,17359.492064298312,0.0012476225061179972,0.018452133113300493
22.13,0.099667824,0.2228640296,97257.544412899,56076798.9689675,0.16126592680000001,0.5188377312645797,15684.328038038322,0.0017343633410088304,0.007287208621780389
20.38,0.2231284644,0.4989304142,62591.0473432282,56174055.999965295,0.3610294393,0.33202018772048,22597.21072752543,0.0011142340753045653,0.017714889072620216
24.25,0.0375452479,0.0839537266,75420.9700123032,69144340.98667444,0.06074948725,0.40116056357328916,4581.785256145045,0.0010907757444219245,0.0025051334948453605
23.03,0.0658498783,0.1472448042,41861.3672846819,21058171.68159829,0.10654734125,0.22030806695991817,4460.217385272588,0.001987891822596475,0.004626458586626139
23.86,0.04493192,0.1004708274,24029.5453048543,24915561.481104113,0.0727013737,0.12421248590100642,1746.9809530492928,0.0009644392450508584,0.003046998059513831
19.09,0.4041615334,0.9037326626,139874.0817159504,55268153.53195921,0.653947098,0.7484979936588715,91470.24982356062,0.0025308260323020776,0.03425600303823991
20.79,0.1847374636,0.4130855266,48484.4417107794,71274761.90465789,0.2989114951,0.255999775081065,14492.556960857872,0.0006802469824541201,0.014377657291967291
25.2,0.0242412481,0.0542050786,33442.3816087589,71276806.2044308,0.03922316335,0.17493820394930182,1311.7159966533861,0.00046919023718377563,0.001556474736111111
21.45,0.1363185559,0.3048175575,15251.9650688525,36878669.42825182,0.22056805670000001,0.07691015896974761,3364.096296093078,0.0004135714575745608,0.010282893086247087
21.97,0.1072889455,0.2399053753,75977.579415821,64984997.35611879,0.1735971604,0.40416012829047887,13189.492040652018,0.0011691556898811998,0.00790155486572599
22.27,0.0934447651,0.2089488469,11918.1905532648,34540419.041059814,0.15119680600000002,0.058944468219963145,1801.9923449530108,0.0003450505490132325,0.006789259362370904
26.95,0.0108281678,0.0242125192,68744.7317657095,44322718.69516812,0.0175203435,0.36518235594425846,1204.431314350592,0.0015510044011177446,0.0006501055102040817
21.06,0.163137941,0.3647875257,110070.0567593806,60271829.54540633,0.26396273335,0.5878842829939802,29054.393042195745,0.001826227237327487,0.012533842989078822
22.06,0.102933082,0.2301653685,80064.4256073058,65506762.7276944,0.16654922525,0.4261841177579269,13334.668054983042,0.0012222314502111221,0.00754982888712602
22.31,0.0917392059,0.2051351006,151827.0503272888,71584136.11917503,0.14843715325,0.812912469385743,22536.775136927234,0.002120959454962527,0.006653391001792919
21.4,0.1394938229,0.3119176705,42101.6314623761,20230122.00959082,0.22570574670000002,0.22160284916385023,9502.58016650381,0.002081135815316205,0.010546997509345795
24.4,0.0350392641,0.0783501764,22154.3357030438,22275516.00116215,0.05669472025,0.11410699267114564,1256.033865008655,0.00099455993306229,0.0023235541086065576
24.2,0.0384197891,0.0859092601,30799.9243143538,19288058.53501132,0.06216452459999999,0.16069801753332724,1914.6626527177848,0.0015968390109583272,0.0025687820082644624
20.51,0.2101623793,0.4699373665,25561.1269413748,47528281.53813738,0.3400498729,0.13246617009923883,8692.057967595267,0.0005378087764621615,0.016579711014139444
26.4,0.0139493823,0.0311917671,42135.7363046219,43721884.31187059,0.0225705747,0.22178663995293732,951.0277838029706,0.0009637218744751574,0.0008549460113636364
19.83,0.2874451443,0.6427468824,129838.3226021304,43094808.66700062,0.46509601335,0.6944153483464196,60387.28622230205,0.003012852977383159,0.023454161036308624
25.1,0.0253837029,0.0567596853,25143.5357142479,49346598.678867646,0.0410716941,0.13021577349583738,1032.687607448015,0.0005095292560663448,0.0016363224741035856
25.7,0.0192555078,0.0430566244,18183.1685730237,33151861.859173913,0.031156066099999997,0.09270639696796772,566.5160019685691,0.0005484810672252479,0.0012122982918287937
25.5,0.0211132445,0.0472106499,53014.2780669044,56944901.33141793,0.0341619472,0.2804110358729262,1811.0709681677063,0.0009309749745348157,0.0013396842039215687
27.3,0.0092162655,0.0206081961,43748.813292782,43339786.53360396,0.014912230799999999,0.23047950210944376,652.3924010480731,0.0010094376735995433,0.0005462355604395604
27.5,0.008405334,0.0187948982,36943.7722227904,68348784.21138756,0.0136001161,0.19380717684226864,502.4395914019045,0.0005405183522874605,0.0004945496763636364
17.25,0.9430939886,2.1088222676,87013.5548449691,63795940.333235584,1.5259581281,0.46363293329131205,132779.04127055572,0.001363935610799954,0.08846134075942029
22.42,0.0872077289,0.19500241,49400.2559046506,33564152.63146754,0.14110506945,0.26093509224616507,6970.626540273496,0.0014718159712554806,0.006293714070026762
21.43,0.1375798959,0.3076379996,12698.0348726346,49454214.33013765,0.22260894775,0.06314704455176527,2826.6961814899937,0.0002567634537244352,0.010387725046663557
20.97,0.1700415193,0.3802243961,87664.8095324251,68925353.95480917,0.2751329577,0.4671425408725913,24119.478332863273,0.0012718804402499324,0.013120312718168815
24.76,0.0296862251,0.0663804174,15151.5154135468,46924239.88122556,0.048033321250000004,0.0763688363833799,727.7776072832202,0.0003228931454595376,0.0019399564317447496
21.9,0.1108038821,0.2477650126,33988.0183573491,38233540.460966855,0.17928444735,0.17787863709529142,6093.523087718988,0.0008889581751406971,0.008186504445205479
21.16,0.1557955241,0.3483693825,69535.1179617595,12851177.466422345,0.2520824533,0.36944174238588456,17528.58312630523,0.005410797426418037,0.011913159418714556
20.25,0.2368944994,0.5297122041,102363.3187226334,74641700.92168564,0.38330335174999997,0.546352718213453,39236.20316263891,0.0013713958478791016,0.018928560580246914
21.65,0.1243240006,0.2779969165,74338.0833320291,51558426.16505048,0.20116045855,0.39532489378701524,14953.882930799085,0.0014418221978703472,0.009291476145496537
20.2,0.2424124811,0.5420507863,56397.0853983906,60936747.19819533,0.3922316337,0.29864096417174246,22120.72094172916,0.0009255020655264123,0.01941740760891089
21.49,0.1338304618,0.2992540101,92065.224714138,49012034.44197034,0.21654223595,0.49085635173642356,19936.009612838643,0.001878420795266969,0.010076418610981852
19.09,0.4041615334,0.9037326626,98004.329790642,12778520.967397977,0.653947098,0.5228621531594199,64089.64705802528,0.007669457994448799,0.03425600303823991
22.26,0.0938760865,0.2099133109,51315.5202026684,13038438.515047582,0.1518946987,0.2712564399922123,7794.555479818079,0.0039357105640714166,0.006823661217430368
21.42,0.1382149359,0.3090579921,92065.2249101994,49012034.65140736,0.223636464,0.49085635279299716,20589.14135628171,0.0018784207912404178,0.010440544537815125
24.86,0.0283501249,0.0633928065,34332.9724031938,12937735.601832844,0.045871465699999996,0.17973759236702802,1574.903765972151,0.002653707994954694,0.0018451917015285598
17.34,0.9048049682,2.0232054153,75731.1381531594,41973786.0177524,1.46400519175,0.4028320578129276,110870.77943336187,0.0018042484449968285,0.08442936515282584
24.33,0.0361871997,0.0809170384,59746.2796820484,67355564.77277541,0.058552119050000004,0.31668975195861976,3498.2712807378944,0.0008870281153992696,0.0024065811364570493
24.8,0.0291443905,0.0651688382,20844.0438031508,27327094.868240252,0.04715661435,0.10704583752842138,982.9345351196895,0.0007627610583434501,0.0019014763850806451
21.85,0.1133848361,0.2535362011,16860.2961730638,54339835.67814723,0.1834605186,0.08557744558628887,3093.198679659881,0.000310275067317588,0.008396362407322654
19.28,0.3703010782,0.828018383,13700.5927889263,38154576.13783437,0.5991597306,0.06854982311361103,8208.843484473386,0.00035908124727772003,0.031076749512448133
21.25,0.1494703242,0.3342258056,50545.665850172,15316290.422763433,0.2418480649,0.2671076995316153,12224.371474946112,0.0033001245376654545,0.011381085407058823
28.39,0.0055789822,0.0124749835,52235.6620076107,18908416.570338394,0.00902698285,0.27621507862726336,471.5304251010984,0.0027625614135005205,0.00031796346777034166
18.94,0.4330668855,0.9683669947,53449.0246876478,68901439.50858714,0.7007169401,0.2827538827890179,37452.63703045792,0.0007757316112530056,0.03699667054382259
28.0,0.0066765941,0.0149293183,21335.3522739809,31486575.33596759,0.0108029562,0.1096934959133578,230.4848761273861,0.0006776015507030771,0.00038581986428571426
26.06,0.0163137941,0.0364787526,25226.1589470646,25194230.029693767,0.02639627335,0.13066102959896966,665.8765871372653,0.0010012673107030142,0.0010129038123561013
15.91,1.7480545317,3.9087687612,46757.3843324714,46685702.876116134,2.82841164645,0.24669267328976546,132249.1304035009,0.0010015354048871338,0.17777571630735386
18.41,0.5527833794,1.2360612132,48797.9422309102,38532864.94489378,0.8944222962999999,0.2576892274925079,43645.96754488544,0.0012663979774329421,0.048583503329712105
21.05,0.1638909515,0.3664713084,60921.7490347124,47804486.5838028,0.26518112995,0.3230243492077945,16155.298247555354,0.0012743939614938572,0.012597678382422801
21.14,0.1572370824,0.3515928047,71160.7644049345,37389026.885135256,0.25441494355,0.37820234125962704,18104.36185905626,0.0019032526474559268,0.012034765541627246
18.34,0.57089334,1.2765563162,86167.5748373981,19540862.3897869,0.9237248281,0.4590739521348311,79595.12825446945,0.0044096096230857185,0.050366675468920395
18.21,0.6061149227,1.3553141694,97953.9762999866,58611608.72023373,0.98071454605,0.5225907985020917,96064.88940083382,0.0016712384873710387,0.05385582350631521
23.7,0.0483676488,0.1081533507,64203.66665419,44157796.52799808,0.07826049975,0.34071058345732624,5024.61103813932,0.0014539599278574037,0.003302130791139241
22.4,0.0880146521,0.1968067451,24146.3888532009,53135015.36314446,0.1424106986,0.12484215507805707,3438.704105251593,0.0004544345887203664,0.006357620473214286
21.43,0.1375798959,0.3076379996,22544.9876097539,70658208.39053202,0.22260894775,0.11621221343936251,5018.715968844104,0.0003190710339716859,0.010387725046663557
